epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
72,5190.5,0.42712,0.46604,0.96793,0.85517,0.79329,0.82258,0.67082,0.52401,0.44938,0.96054,0.002971,0.002971,0.002971
73,5260.73,0.42938,0.46844,0.96966,0.85511,0.7921,0.8226,0.67133,0.52302,0.44917,0.95998,0.002872,0.002872,0.002872
74,5331.14,0.42471,0.46249,0.96732,0.85442,0.79284,0.82327,0.67142,0.52351,0.44908,0.95989,0.002773,0.002773,0.002773
75,5401.64,0.42497,0.45869,0.9679,0.85115,0.79145,0.8225,0.67131,0.52418,0.44836,0.96041,0.002674,0.002674,0.002674
76,5472.11,0.4248,0.4574,0.96535,0.85172,0.79155,0.82235,0.67093,0.52444,0.44915,0.96029,0.002575,0.002575,0.002575
77,5542.35,0.41924,0.45579,0.96481,0.85316,0.79088,0.82204,0.67135,0.52441,0.44921,0.96027,0.002476,0.002476,0.002476
78,5612.74,0.42214,0.45309,0.96642,0.85456,0.79054,0.82284,0.6712,0.5245,0.44912,0.9603,0.002377,0.002377,0.002377
79,5682.98,0.41681,0.44973,0.96395,0.85109,0.79231,0.82231,0.67154,0.52441,0.44961,0.9601,0.002278,0.002278,0.002278
80,5753.11,0.41856,0.45108,0.96517,0.85364,0.79231,0.8226,0.67168,0.52404,0.44955,0.95962,0.002179,0.002179,0.002179
81,5823.6,0.41394,0.44256,0.96055,0.85162,0.79082,0.82252,0.67146,0.52414,0.44969,0.9597,0.00208,0.00208,0.00208
82,5894.29,0.41473,0.44079,0.96108,0.84971,0.79231,0.82252,0.67142,0.52436,0.4497,0.95981,0.001981,0.001981,0.001981
83,5964.78,0.4132,0.44122,0.96073,0.84434,0.79604,0.8225,0.67173,0.52433,0.44897,0.95986,0.001882,0.001882,0.001882
84,6035.21,0.41168,0.43693,0.96076,0.8451,0.79551,0.82321,0.6719,0.52461,0.44901,0.95983,0.001783,0.001783,0.001783
85,6105.52,inf,0.43145,0.96036,0.84488,0.79578,0.8236,0.67209,0.52468,0.44934,0.95977,0.001684,0.001684,0.001684
86,6176.03,0.40363,0.42901,0.95726,0.84435,0.79523,0.82375,0.67204,0.52449,0.44986,0.95966,0.001585,0.001585,0.001585
87,6246.45,0.4037,0.42464,0.95839,0.8474,0.78799,0.82333,0.67211,0.52443,0.44922,0.95949,0.001486,0.001486,0.001486
88,6316.71,0.40703,0.42631,0.95739,0.84712,0.7889,0.8228,0.6726,0.52428,0.4493,0.95941,0.001387,0.001387,0.001387
89,6386.97,0.403,0.42173,0.9546,0.8497,0.78904,0.82351,0.67282,0.52438,0.44973,0.9594,0.001288,0.001288,0.001288
90,6457.39,0.40479,0.4191,0.95617,0.84978,0.78977,0.82378,0.67325,0.52473,0.44923,0.95949,0.001189,0.001189,0.001189
91,6557.53,0.40203,0.35314,0.94318,0.85016,0.79092,0.82445,0.67288,0.52529,0.4494,0.95967,0.00109,0.00109,0.00109
92,6626.65,0.39628,0.34544,0.93923,0.84833,0.79213,0.82439,0.67336,0.52594,0.45028,0.95961,0.000991,0.000991,0.000991
93,6695.49,0.39275,0.33742,0.93598,0.84779,0.7917,0.82423,0.67319,0.52726,0.45055,0.95973,0.000892,0.000892,0.000892
94,6764.13,0.39214,0.33126,0.93524,0.84601,0.79223,0.82515,0.67372,0.5283,0.45013,0.95976,0.000793,0.000793,0.000793
95,6833.87,0.39103,0.32958,0.93564,0.84997,0.79226,0.82533,0.67409,0.52859,0.44979,0.9598,0.000694,0.000694,0.000694
96,6902.97,0.38714,0.32535,0.93458,0.84739,0.79217,0.82505,0.67407,0.52859,0.4493,0.95985,0.000595,0.000595,0.000595
97,6972.23,0.385,0.31956,0.93141,0.84904,0.79266,0.82544,0.67377,0.52908,0.44973,0.95998,0.000496,0.000496,0.000496
98,7041.38,0.38048,0.31671,0.93119,0.85457,0.79002,0.82581,0.67413,0.52926,0.44989,0.96017,0.000397,0.000397,0.000397
99,7110.84,0.38179,0.3155,0.93084,0.84248,0.79526,0.82549,0.67411,0.53005,0.45047,0.96046,0.000298,0.000298,0.000298
100,7180.05,0.3803,0.31243,0.93159,0.84377,0.79259,0.82556,0.67457,0.53069,0.45102,0.96095,0.000199,0.000199,0.000199
